Subject,StoryEmotion,FaceExpression,RT
47,Anger,Fear,2154
48,Anger,Fear,1639
50,Anger,Fear,9652
51,Anger,Fear,1705
52,Anger,Fear,1667
53,Anger,Fear,2945
54,Anger,Fear,3368
55,Anger,Fear,2715
56,Anger,Fear,1581
57,Anger,Fear,2634
58,Anger,Fear,1705
59,Anger,Fear,1553
62,Anger,Fear,3754
63,Anger,Fear,1301
64,Anger,Fear,2459
65,Anger,Fear,1669
66,Anger,Fear,1571
67,Anger,Fear,1025
68,Anger,Fear,1935
69,Anger,Fear,988
70,Anger,Fear,1175
71,Anger,Fear,2632
72,Anger,Fear,9373
38,Anger,Fear,5484
39,Anger,Fear,2792
40,Anger,Fear,1790
42,Anger,Fear,3173
44,Anger,Fear,2050
45,Anger,Fear,3207
46,Anger,Fear,3121
47,Anger,Fear,2341
48,Anger,Fear,3344
50,Anger,Fear,7090
51,Anger,Fear,1878
52,Anger,Fear,1130
53,Anger,Fear,3900
54,Anger,Fear,1760
55,Anger,Fear,1474
56,Anger,Fear,3225
57,Anger,Fear,4636
58,Anger,Fear,2328
59,Anger,Fear,1464
60,Anger,Fear,694
61,Anger,Fear,1418
62,Anger,Fear,4954
63,Anger,Fear,1055
64,Anger,Fear,1447
65,Anger,Fear,1520
66,Anger,Fear,1402
67,Anger,Fear,1273
69,Anger,Fear,1113
70,Anger,Fear,1633
71,Anger,Fear,2945
72,Anger,Fear,4960
39,Anger,Fear,2936
40,Anger,Fear,1837
42,Anger,Fear,2896
44,Anger,Fear,3238
45,Anger,Fear,2162
47,Anger,Fear,3535
48,Anger,Fear,1234
52,Anger,Fear,1733
53,Anger,Fear,2536
54,Anger,Fear,1790
55,Anger,Fear,3268
56,Anger,Fear,2022
57,Anger,Fear,4179
58,Anger,Fear,1853
59,Anger,Fear,1714
60,Anger,Fear,1054
61,Anger,Fear,1314
63,Anger,Fear,1601
64,Anger,Fear,1421
65,Anger,Fear,1204
67,Anger,Fear,1477
68,Anger,Fear,1151
70,Anger,Fear,1329
71,Anger,Fear,4173
72,Anger,Fear,7464
38,Anger,Fear,3703
39,Anger,Fear,2727
40,Anger,Fear,1189
42,Anger,Fear,4074
44,Anger,Fear,1799
45,Anger,Fear,1799
46,Anger,Fear,1920
47,Anger,Fear,2233
48,Anger,Fear,1321
50,Anger,Fear,6627
51,Anger,Fear,2652
52,Anger,Fear,1035
53,Anger,Fear,2919
54,Anger,Fear,1912
55,Anger,Fear,1177
56,Anger,Fear,1684
58,Anger,Fear,1440
59,Anger,Fear,924
61,Anger,Fear,1133
62,Anger,Fear,5573
63,Anger,Fear,947
64,Anger,Fear,1342
65,Anger,Fear,1517
66,Anger,Fear,1154
67,Anger,Fear,1649
68,Anger,Fear,1775
69,Anger,Fear,908
70,Anger,Fear,822
71,Anger,Fear,1910
72,Anger,Fear,9652
39,Anger,Fear,3100
40,Anger,Fear,2750
42,Anger,Fear,2880
45,Anger,Fear,2306
46,Anger,Fear,1390
47,Anger,Fear,2325
48,Anger,Fear,2487
51,Anger,Fear,4896
52,Anger,Fear,2066
53,Anger,Fear,2763
54,Anger,Fear,2239
55,Anger,Fear,2272
56,Anger,Fear,2432
57,Anger,Fear,3948
58,Anger,Fear,1671
59,Anger,Fear,5903
60,Anger,Fear,659
62,Anger,Fear,5112
63,Anger,Fear,1376
64,Anger,Fear,3164
65,Anger,Fear,1192
66,Anger,Fear,3034
67,Anger,Fear,2877
68,Anger,Fear,1176
69,Anger,Fear,863
70,Anger,Fear,1169
71,Anger,Fear,9652
72,Anger,Fear,4710
38,Anger,Fear,9652
39,Anger,Fear,4381
40,Anger,Fear,2203
42,Anger,Fear,4656
44,Anger,Fear,2725
45,Anger,Fear,3135
46,Anger,Fear,3763
47,Anger,Fear,2241
48,Anger,Fear,1648
51,Anger,Fear,2148
52,Anger,Fear,1447
53,Anger,Fear,2329
54,Anger,Fear,1950
55,Anger,Fear,1354
56,Anger,Fear,1014
57,Anger,Fear,2715
58,Anger,Fear,1772
59,Anger,Fear,915
61,Anger,Fear,1349
62,Anger,Fear,3086
63,Anger,Fear,1684
64,Anger,Fear,2004
65,Anger,Fear,1135
66,Anger,Fear,1241
67,Anger,Fear,1670
68,Anger,Fear,967
69,Anger,Fear,939
70,Anger,Fear,1464
71,Anger,Fear,9652
72,Anger,Fear,9652
38,Fear,Fear,2697
39,Fear,Fear,2380
40,Fear,Fear,1841
42,Fear,Fear,1676
44,Fear,Fear,1411
45,Fear,Fear,2098
46,Fear,Fear,1903
47,Fear,Fear,2416
48,Fear,Fear,3154
50,Fear,Fear,3125
51,Fear,Fear,2325
52,Fear,Fear,1529
53,Fear,Fear,2613
54,Fear,Fear,2337
55,Fear,Fear,1774
56,Fear,Fear,1467
58,Fear,Fear,2563
59,Fear,Fear,1154
60,Fear,Fear,363
61,Fear,Fear,1277
62,Fear,Fear,3088
63,Fear,Fear,914
64,Fear,Fear,1538
65,Fear,Fear,1146
66,Fear,Fear,1505
67,Fear,Fear,1188
68,Fear,Fear,1013
69,Fear,Fear,951
70,Fear,Fear,2188
71,Fear,Fear,2477
72,Fear,Fear,4764
38,Fear,Fear,2462
39,Fear,Fear,2232
40,Fear,Fear,1751
42,Fear,Fear,1719
44,Fear,Fear,1647
45,Fear,Fear,1431
46,Fear,Fear,2735
47,Fear,Fear,2430
48,Fear,Fear,2468
50,Fear,Fear,4064
51,Fear,Fear,1623
53,Fear,Fear,2371
54,Fear,Fear,1833
55,Fear,Fear,1492
56,Fear,Fear,1352
57,Fear,Fear,2723
58,Fear,Fear,942
59,Fear,Fear,772
60,Fear,Fear,617
61,Fear,Fear,1086
62,Fear,Fear,1594
64,Fear,Fear,2489
65,Fear,Fear,1151
66,Fear,Fear,1482
67,Fear,Fear,1571
68,Fear,Fear,1051
69,Fear,Fear,882
70,Fear,Fear,1036
71,Fear,Fear,2138
72,Fear,Fear,4507
38,Fear,Fear,3413
39,Fear,Fear,1983
40,Fear,Fear,1172
42,Fear,Fear,1735
44,Fear,Fear,1403
45,Fear,Fear,1833
47,Fear,Fear,2229
48,Fear,Fear,2010
50,Fear,Fear,6088
51,Fear,Fear,2056
52,Fear,Fear,1128
53,Fear,Fear,2160
54,Fear,Fear,1676
55,Fear,Fear,1358
56,Fear,Fear,1494
57,Fear,Fear,3276
58,Fear,Fear,6088
59,Fear,Fear,764
61,Fear,Fear,1183
62,Fear,Fear,2369
63,Fear,Fear,1037
64,Fear,Fear,1032
65,Fear,Fear,1404
66,Fear,Fear,1706
67,Fear,Fear,1488
68,Fear,Fear,1230
69,Fear,Fear,1078
70,Fear,Fear,1433
71,Fear,Fear,1567
38,Fear,Fear,3368
39,Fear,Fear,3282
40,Fear,Fear,1785
42,Fear,Fear,2011
44,Fear,Fear,2210
45,Fear,Fear,3399
46,Fear,Fear,2920
47,Fear,Fear,1820
48,Fear,Fear,3652
50,Fear,Fear,3371
51,Fear,Fear,1566
52,Fear,Fear,1555
53,Fear,Fear,2680
54,Fear,Fear,2044
55,Fear,Fear,1672
56,Fear,Fear,991
57,Fear,Fear,3258
58,Fear,Fear,2665
59,Fear,Fear,1094
60,Fear,Fear,589
62,Fear,Fear,3379
63,Fear,Fear,1120
64,Fear,Fear,1384
66,Fear,Fear,1403
67,Fear,Fear,1445
68,Fear,Fear,840
69,Fear,Fear,1030
70,Fear,Fear,2055
71,Fear,Fear,2871
72,Fear,Fear,6088
38,Fear,Fear,5467
39,Fear,Fear,2279
42,Fear,Fear,2200
44,Fear,Fear,1594
45,Fear,Fear,2521
46,Fear,Fear,3652
47,Fear,Fear,1799
48,Fear,Fear,976
50,Fear,Fear,3833
51,Fear,Fear,1552
53,Fear,Fear,2300
55,Fear,Fear,1637
56,Fear,Fear,1229
57,Fear,Fear,4277
58,Fear,Fear,1510
59,Fear,Fear,1062
60,Fear,Fear,550
63,Fear,Fear,933
64,Fear,Fear,1197
65,Fear,Fear,1037
67,Fear,Fear,1385
68,Fear,Fear,1272
69,Fear,Fear,897
70,Fear,Fear,1342
71,Fear,Fear,2956
72,Fear,Fear,1953
39,Fear,Fear,1949
40,Fear,Fear,1735
42,Fear,Fear,2200
44,Fear,Fear,1293
45,Fear,Fear,1076
46,Fear,Fear,1783
47,Fear,Fear,1669
48,Fear,Fear,1238
50,Fear,Fear,3991
51,Fear,Fear,1129
52,Fear,Fear,1090
53,Fear,Fear,2372
54,Fear,Fear,1541
55,Fear,Fear,985
56,Fear,Fear,1321
57,Fear,Fear,2407
58,Fear,Fear,1610
59,Fear,Fear,806
60,Fear,Fear,1042
61,Fear,Fear,1046
62,Fear,Fear,2446
63,Fear,Fear,1186
64,Fear,Fear,1166
65,Fear,Fear,1280
66,Fear,Fear,2302
67,Fear,Fear,1196
69,Fear,Fear,747
70,Fear,Fear,1050
71,Fear,Fear,2691
72,Fear,Fear,6088
38,Fear,Fear,4428
39,Fear,Fear,3110
40,Fear,Fear,1185
42,Fear,Fear,4801
44,Fear,Fear,1162
